,0,1,2,3,4
863,18,1158000.0,680,680,36
864,4,123446.69,208,1347,2
865,3,1294.56,162,577,1
866,10,46052.06,1429,1429,7
867,1,139.18,528,528,0
868,5,97078.75,887,577,0
869,4,32.1,946,577,7
870,4,6983.26,1013,577,2
871,3,252.19,274,274,0
872,3,669.24,949,577,0
873,3,192.74,726,726,4
874,12,25121.92,1472,1472,20
875,1,2800.4,1411,1411,0
876,6,1390.54,1196,1196,4
877,3,90135.31,887,577,2
878,5,334.62,426,577,5
879,4,386.73,1073,1073,0
880,4,36580.16,1285,1285,1
881,1,4.4,686,686,0
882,3,164.86,704,704,0
883,3,522.83,1549,1549,3
884,16,188528.0,1155,1155,294
885,10,351700.0,386,386,20
886,3,2900.0,1285,1285,1
887,2,442.3,1130,1130,1
888,2,1528.0,687,577,0
889,1,6.63,921,921,0
890,2,11.61,1415,1415,0
891,3,334.62,101,577,3
892,4,831.58,158,577,1
893,4,38.52,774,577,2
894,1,68.64,1446,1446,0
895,8,72000.0,506,506,6
896,3,2685.1,669,577,10
897,8,327000.0,680,680,4
898,7,1603.92,1407,577,3
899,1,121.01,652,652,0
900,5,12720.0,1303,1303,1
901,7,122040.6,235,235,3
902,3,334.62,391,577,2
903,5,345000.0,1082,1082,10
904,4,40000.0,938,938,3
905,4,15000.0,603,779,0
906,6,334.62,1515,577,1
907,12,732320.0,259,259,144
908,3,861,329,329,2
909,2,335.24,120,577,0
910,2,2388.78,774,273,0
911,5,106520.0,766,577,4
